MPI RANK	NODE	ELAPSED	ELAPSED COMP	MPI	COMPUTATION
62	s08r2b26	0.1919	0.0006	0.1912	0.0006
12	s08r2b25	0.1920	0.0006	0.1913	0.0006
133	s08r2b31	0.1918	0.0007	0.1911	0.0007
190	s08r2b44	0.1919	0.0006	0.1913	0.0006
188	s08r2b44	0.1921	0.0007	0.1914	0.0007
144	s08r2b44	0.1919	0.0007	0.1912	0.0007
85	s08r2b26	0.1919	0.1665	0.0254	0.1665
35	s08r2b25	0.1918	0.0007	0.1911	0.0007
112	s08r2b31	0.1919	0.0007	0.1912	0.0007
167	s08r2b44	0.1919	0.0007	0.1913	0.0007
64	s08r2b26	0.1920	0.0007	0.1913	0.0007
14	s08r2b25	0.1919	0.0007	0.1912	0.0007
135	s08r2b31	0.1917	0.0007	0.1911	0.0007
146	s08r2b44	0.1920	0.0007	0.1913	0.0007
87	s08r2b26	0.1918	0.0961	0.0957	0.0961
37	s08r2b25	0.1918	0.0007	0.1912	0.0007
114	s08r2b31	0.1917	0.0006	0.1911	0.0006
97	s08r2b31	0.1921	0.1803	0.0118	0.1803
171	s08r2b44	0.1921	0.0007	0.1914	0.0007
169	s08r2b44	0.1918	0.0007	0.1911	0.0007
66	s08r2b26	0.1920	0.0006	0.1914	0.0006
16	s08r2b25	0.1917	0.0006	0.1911	0.0006
1	s08r2b25	0.1920	0.0007	0.1913	0.0007
137	s08r2b31	0.1920	0.0007	0.1913	0.0007
150	s08r2b44	0.1919	0.0007	0.1912	0.0007
148	s08r2b44	0.1917	0.0007	0.1910	0.0007
91	s08r2b26	0.1919	0.0007	0.1912	0.0007
89	s08r2b26	0.1919	0.0007	0.1912	0.0007
41	s08r2b25	0.1919	0.0007	0.1912	0.0007
39	s08r2b25	0.1921	0.0008	0.1913	0.0008
116	s08r2b31	0.1919	0.0006	0.1913	0.0006
99	s08r2b31	0.1921	0.0648	0.1273	0.0648
173	s08r2b44	0.1919	0.0007	0.1912	0.0007
70	s08r2b26	0.1920	0.0007	0.1913	0.0007
68	s08r2b26	0.1922	0.0007	0.1915	0.0007
20	s08r2b25	0.1921	0.0006	0.1914	0.0006
3	s08r2b25	0.1919	0.0007	0.1912	0.0007
18	s08r2b25	0.1918	0.0007	0.1911	0.0007
141	s08r2b31	0.1921	0.0007	0.1914	0.0007
139	s08r2b31	0.1919	0.0007	0.1912	0.0007
152	s08r2b44	0.1919	0.0007	0.1913	0.0007
93	s08r2b26	0.1919	0.0646	0.1273	0.0646
43	s08r2b25	0.1921	0.0007	0.1914	0.0007
120	s08r2b31	0.1917	0.0007	0.1909	0.0007
118	s08r2b31	0.1921	0.0007	0.1914	0.0007
175	s08r2b44	0.1920	0.0006	0.1914	0.0006
72	s08r2b26	0.1919	0.0007	0.1912	0.0007
22	s08r2b25	0.1917	0.0006	0.1911	0.0006
5	s08r2b25	0.1920	0.0007	0.1913	0.0007
143	s08r2b31	0.1919	0.0007	0.1912	0.0007
154	s08r2b44	0.1920	0.0007	0.1913	0.0007
95	s08r2b26	0.1920	0.1776	0.0143	0.1776
45	s08r2b25	0.1918	0.0006	0.1911	0.0006
51	s08r2b26	0.1919	0.0007	0.1912	0.0007
49	s08r2b26	0.1920	0.0007	0.1913	0.0007
122	s08r2b31	0.1916	0.0007	0.1910	0.0007
177	s08r2b44	0.1918	0.0006	0.1912	0.0006
74	s08r2b26	0.1921	0.0006	0.1915	0.0006
7	s08r2b25	0.1918	0.0006	0.1911	0.0006
24	s08r2b25	0.1920	0.0006	0.1913	0.0006
101	s08r2b31	0.1919	0.0007	0.1912	0.0007
156	s08r2b44	0.1921	0.0007	0.1914	0.0007
47	s08r2b25	0.1922	0.0007	0.1915	0.0007
53	s08r2b26	0.1920	0.0007	0.1913	0.0007
124	s08r2b31	0.1919	0.0006	0.1912	0.0006
181	s08r2b44	0.1922	0.0007	0.1916	0.0007
179	s08r2b44	0.1920	0.0006	0.1914	0.0006
76	s08r2b26	0.1921	0.0006	0.1915	0.0006
9	s08r2b25	0.1919	0.0007	0.1912	0.0007
26	s08r2b25	0.1919	0.0007	0.1913	0.0007
103	s08r2b31	0.1922	0.0007	0.1916	0.0007
160	s08r2b44	0.1919	0.0553	0.1366	0.0553
158	s08r2b44	0.1920	0.0064	0.1856	0.0064
55	s08r2b26	0.1918	0.0007	0.1911	0.0007
126	s08r2b31	0.1920	0.0006	0.1913	0.0006
183	s08r2b44	0.1921	0.0006	0.1914	0.0006
80	s08r2b26	0.1921	0.0007	0.1914	0.0007
78	s08r2b26	0.1919	0.0007	0.1912	0.0007
28	s08r2b25	0.1917	0.0007	0.1910	0.0007
30	s08r2b25	0.1918	0.0007	0.1911	0.0007
105	s08r2b31	0.1919	0.0969	0.0950	0.0969
162	s08r2b44	0.1918	0.0007	0.1911	0.0007
57	s08r2b26	0.1920	0.0007	0.1913	0.0007
130	s08r2b31	0.1919	0.0007	0.1912	0.0007
128	s08r2b31	0.1916	0.0006	0.1910	0.0006
185	s08r2b44	0.1920	0.0006	0.1913	0.0006
82	s08r2b26	0.1920	0.0007	0.1913	0.0007
32	s08r2b25	0.1921	0.0550	0.1371	0.0550
107	s08r2b31	0.1920	0.1624	0.0296	0.1624
164	s08r2b44	0.1920	0.0007	0.1913	0.0007
61	s08r2b26	0.1919	0.0007	0.1912	0.0007
59	s08r2b26	0.1919	0.0007	0.1912	0.0007
11	s08r2b25	0.1922	0.0007	0.1916	0.0007
132	s08r2b31	0.1919	0.0007	0.1913	0.0007
187	s08r2b44	0.1920	0.0007	0.1912	0.0007
84	s08r2b26	0.1919	0.0493	0.1426	0.0493
34	s08r2b25	0.1921	0.0063	0.1858	0.0063
111	s08r2b31	0.1920	0.0007	0.1913	0.0007
109	s08r2b31	0.1921	0.0072	0.1849	0.0072
166	s08r2b44	0.1922	0.0007	0.1915	0.0007
63	s08r2b26	0.1921	0.0007	0.1914	0.0007
13	s08r2b25	0.1919	0.0007	0.1913	0.0007
134	s08r2b31	0.1919	0.0006	0.1912	0.0006
191	s08r2b44	0.1919	0.0007	0.1913	0.0007
189	s08r2b44	0.1918	0.0007	0.1911	0.0007
145	s08r2b44	0.1920	0.0007	0.1913	0.0007
86	s08r2b26	0.1918	0.1912	0.0005	0.1912
36	s08r2b25	0.1919	0.0007	0.1912	0.0007
113	s08r2b31	0.1921	0.0007	0.1914	0.0007
96	s08r2b31	0.1919	0.1222	0.0696	0.1222
170	s08r2b44	0.1918	0.0006	0.1912	0.0006
168	s08r2b44	0.1920	0.0006	0.1914	0.0006
65	s08r2b26	0.1919	0.0007	0.1913	0.0007
0	s08r2b25	0.1918	0.0002	0.1916	0.0002
15	s08r2b25	0.1920	0.0007	0.1913	0.0007
136	s08r2b31	0.1922	0.0007	0.1915	0.0007
147	s08r2b44	0.1921	0.0007	0.1914	0.0007
90	s08r2b26	0.1922	0.0475	0.1447	0.0475
88	s08r2b26	0.1921	0.0007	0.1914	0.0007
40	s08r2b25	0.1920	0.0007	0.1913	0.0007
38	s08r2b25	0.1922	0.0007	0.1915	0.0007
115	s08r2b31	0.1921	0.0007	0.1914	0.0007
98	s08r2b31	0.1922	0.1799	0.0123	0.1799
172	s08r2b44	0.1921	0.0006	0.1914	0.0006
67	s08r2b26	0.1916	0.0007	0.1910	0.0007
17	s08r2b25	0.1921	0.0006	0.1915	0.0006
2	s08r2b25	0.1920	0.0007	0.1913	0.0007
140	s08r2b31	0.1918	0.0007	0.1911	0.0007
138	s08r2b31	0.1921	0.0007	0.1915	0.0007
151	s08r2b44	0.1921	0.0007	0.1914	0.0007
149	s08r2b44	0.1920	0.0007	0.1913	0.0007
92	s08r2b26	0.1921	0.0006	0.1914	0.0006
42	s08r2b25	0.1919	0.0007	0.1912	0.0007
117	s08r2b31	0.1919	0.0007	0.1912	0.0007
174	s08r2b44	0.1921	0.0008	0.1913	0.0008
71	s08r2b26	0.1920	0.0006	0.1914	0.0006
69	s08r2b26	0.1921	0.0007	0.1914	0.0007
21	s08r2b25	0.1919	0.0007	0.1911	0.0007
4	s08r2b25	0.1916	0.0007	0.1909	0.0007
19	s08r2b25	0.1919	0.0007	0.1912	0.0007
142	s08r2b31	0.1919	0.0007	0.1912	0.0007
153	s08r2b44	0.1919	0.0006	0.1912	0.0006
94	s08r2b26	0.1918	0.1802	0.0117	0.1802
44	s08r2b25	0.1919	0.0007	0.1912	0.0007
50	s08r2b26	0.1916	0.0007	0.1910	0.0007
48	s08r2b26	0.1917	0.0007	0.1911	0.0007
121	s08r2b31	0.1919	0.0007	0.1912	0.0007
119	s08r2b31	0.1919	0.0023	0.1895	0.0023
176	s08r2b44	0.1918	0.0006	0.1912	0.0006
73	s08r2b26	0.1917	0.0023	0.1894	0.0023
6	s08r2b25	0.1920	0.0007	0.1913	0.0007
23	s08r2b25	0.1918	0.0007	0.1912	0.0007
100	s08r2b31	0.1918	0.0006	0.1912	0.0006
155	s08r2b44	0.1920	0.0007	0.1913	0.0007
46	s08r2b25	0.1918	0.0007	0.1911	0.0007
52	s08r2b26	0.1919	0.0007	0.1912	0.0007
123	s08r2b31	0.1919	0.0007	0.1913	0.0007
180	s08r2b44	0.1916	0.0006	0.1910	0.0006
178	s08r2b44	0.1919	0.0007	0.1912	0.0007
75	s08r2b26	0.1921	0.0007	0.1914	0.0007
8	s08r2b25	0.1919	0.0007	0.1912	0.0007
25	s08r2b25	0.1920	0.0006	0.1914	0.0006
102	s08r2b31	0.1920	0.0472	0.1448	0.0472
157	s08r2b44	0.1918	0.0007	0.1911	0.0007
54	s08r2b26	0.1919	0.0007	0.1913	0.0007
125	s08r2b31	0.1918	0.0006	0.1911	0.0006
182	s08r2b44	0.1918	0.0007	0.1910	0.0007
77	s08r2b26	0.1919	0.0007	0.1912	0.0007
27	s08r2b25	0.1919	0.0007	0.1913	0.0007
104	s08r2b31	0.1918	0.0008	0.1911	0.0008
161	s08r2b44	0.1919	0.0324	0.1595	0.0324
159	s08r2b44	0.1919	0.0785	0.1133	0.0785
56	s08r2b26	0.1919	0.0007	0.1913	0.0007
127	s08r2b31	0.1921	0.0007	0.1914	0.0007
184	s08r2b44	0.1920	0.0007	0.1913	0.0007
81	s08r2b26	0.1918	0.0007	0.1911	0.0007
79	s08r2b26	0.1921	0.0007	0.1914	0.0007
29	s08r2b25	0.1922	0.0006	0.1916	0.0006
31	s08r2b25	0.1920	0.0323	0.1597	0.0323
106	s08r2b31	0.1920	0.1907	0.0013	0.1907
163	s08r2b44	0.1920	0.0006	0.1914	0.0006
60	s08r2b26	0.1918	0.0007	0.1911	0.0007
58	s08r2b26	0.1920	0.0006	0.1913	0.0006
10	s08r2b25	0.1917	0.0007	0.1910	0.0007
131	s08r2b31	0.1920	0.0007	0.1914	0.0007
129	s08r2b31	0.1920	0.0007	0.1914	0.0007
186	s08r2b44	0.1919	0.0006	0.1913	0.0006
83	s08r2b26	0.1919	0.0072	0.1848	0.0072
33	s08r2b25	0.1919	0.0771	0.1148	0.0771
110	s08r2b31	0.1920	0.0007	0.1913	0.0007
108	s08r2b31	0.1919	0.0495	0.1424	0.0495
165	s08r2b44	0.1919	0.0007	0.1912	0.0007
